Grievance,RepliedGrievance
test1,please provide proper message
test 2,closed
To change college intake plz unlock college information,"Respected 
Sir / Madam,
You can unlock information from the Summary page."
for print the college Summary the print option cannot work,"Respected 
Sir / Madam,
You can re-login and check"
"Arts अनुदानित विभाग आहे
Commerce विना अनुदानित विभाग आहे

तर Intake capacity 40 - 40 हवी की 80-80 

याबाबत मार्गदर्शन व्हावे",Please Enter approved intake.
No Grievance,ok
"Our college's correct name is ""Shree English School & Jr. College"" with the U-DISE Code 27212002315. However, on the portal, it is currently displayed only as ""Shree English School"", which is incorrect and may cause confusion during the admission process for Class XI.
 We kindly request you to update and correct our College's name on the portal as follows:

 Incorrect Name: Shree English School

 Correct Name: Shree English School & Jr. College

 We are attaching the official approval letter regarding the name correction for your reference.

 We would be grateful for your prompt action in this matter so that the admission process can proceed smoothly.

Thank you for your cooperation.

 Sincerely,
 Shree English School & Jr. College
Contact: 9821342038",Please Contact to DYDE.
"आदरणीय महोदय /महोदया,

मी आपल्या निदर्शनास आणू इच्छितो की, ११ वीच्या (FYJC) प्रवेश प्रक्रियेच्या पोर्टलवर आमच्या महाविद्यालयाची नोंदणी करताना एक अडचण येत आहे.

फॉर्म भरताना खालील त्रुटी संदेश दिसत आहे:

“Please enter a valid website URL.”

आम्ही वेबसाइट URL mahafyjcadmission.in योग्य पद्धतीने भरले आहे, तरीसुद्धा पोर्टल ते स्वीकारत नाही.

महत्वाची माहिती:
	•	महाविद्यालयाचे नाव: K D Gayakwad Sec And Higher Sec School
	•	महाविद्यालय क्रमांक (Index Number): 1501003
	•	UDISE क्रमांक: 27030115406
	•	प्रवाह (Stream): Arts
	•	माध्यम: Marathi

आपल्याला विनंती आहे की कृपया सदर बाबीची लवकरात लवकर दखल घेऊन मार्गदर्शन करावे, जेणेकरून आम्ही नोंदणी प्रक्रिया वेळेत पूर्ण करू शकू.

आपल्या सहकार्याबद्दल मनःपूर्वक आभार.

आपला नम्र,
[Clerk]
K D Gayakwad Sec And Higher Sec School
ईमेल: kdgaykwad04@gmail.com
संपर्क: 8600363069",Please Enter your correct college website.
Data locked.,Check your internet connection.
We filled up all details about Science stream still not showing details,Relog Your account and refresh your dashboard
